artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster,spotify_norm,youtube_norm,digital_popularity_score,kmeans_cluster_optimal
三代目 J Soul Brothers from EXILE TRIBE,3,18.0,0.0,23.29770992366412,1,20.689655172413794,0.0,14.482758620689655,0
三山ひろし,10,33.0,0.0,24.23282442748092,2,37.93103448275862,0.0,26.551724137931032,0
三浦大知,15,0.0,0.0,27.0,2,0.0,0.0,0.0,1
三浦祐太朗,1,0.0,0.0,17.041984732824428,1,0.0,0.0,0.0,1
上白石萌音,2,0.0,0.0,27.427480916030536,1,0.0,0.0,0.0,1
丘みどり,3,32.0,0.0,13.622137404580153,1,36.7816091954023,0.0,25.747126436781606,0
中丸雄一,2,0.0,0.0,1.4389312977099236,1,0.0,0.0,0.0,1
中元みずき,2,0.0,0.0,3.4083969465648853,1,0.0,0.0,0.0,1
中島美嘉,3,0.0,0.0,13.759541984732824,1,0.0,0.0,0.0,1
乃木坂46,31,11.0,0.0,38.1793893129771,2,12.643678160919539,0.0,8.850574712643676,1
久保田利伸,1,54.0,0.0,13.34351145038168,0,62.068965517241374,0.0,43.44827586206896,3
亀と山P,2,0.0,0.0,3.732824427480916,1,0.0,0.0,0.0,1
五木ひろし,6,43.0,0.0,15.874045801526718,0,49.42528735632184,0.0,34.59770114942528,3
今井美樹,1,50.0,0.0,17.919847328244273,0,57.47126436781609,0.0,40.22988505747126,3
伊藤蘭,1,10.0,0.0,4.152671755725191,1,11.494252873563218,0.0,8.045977011494251,1
伍代夏子,1,29.0,0.0,9.591603053435117,1,33.33333333333333,0.0,23.33333333333333,0
修二と彰,1,0.0,0.0,23.30916030534351,1,0.0,0.0,0.0,1
倉木麻衣,5,53.0,0.0,22.87404580152672,0,60.91954022988505,0.0,42.643678160919535,3
倖田來未,1,6.0,0.0,24.16412213740458,1,6.896551724137931,0.0,4.827586206896551,1
優里,4,75.0,0.0,24.931297709923665,0,86.20689655172413,0.0,60.34482758620688,2
刀剣男士,1,52.0,0.0,33.4236641221374,0,59.770114942528735,0.0,41.83908045977011,3
加山雄三,1,9.0,0.0,5.923664122137405,1,10.344827586206897,0.0,7.241379310344827,1
北島三郎,1,39.0,0.0,17.759541984732824,0,44.82758620689655,0.0,31.37931034482758,0
北島兄弟,1,8.0,0.0,2.8435114503816794,1,9.195402298850574,0.0,6.4367816091954015,1
南こうせつ,1,33.0,0.0,4.770992366412214,1,37.93103448275862,0.0,26.551724137931032,0
和楽器バンド,2,0.0,0.0,16.591603053435115,1,0.0,0.0,0.0,1
和田アキ子,1,38.0,0.0,22.740458015267176,0,43.678160919540225,0.0,30.574712643678154,0
坂本冬美,10,45.0,0.0,14.591603053435117,2,51.72413793103448,0.0,36.20689655172413,3
堺正章,1,32.0,0.0,13.244274809160306,1,36.7816091954023,0.0,25.747126436781606,0
増田恵子,1,22.0,0.0,7.244274809160306,1,25.287356321839077,0.0,17.70114942528735,0
大原櫻子,1,0.0,0.0,3.030534351145038,1,0.0,0.0,0.0,1
