year,program,artist
2019,NHK紅白歌合戦,乃木坂46[• 16]
2019,NHK紅白歌合戦,星野源[• 17]
2019,NHK紅白歌合戦,Perfume
2019,NHK紅白歌合戦,ビートたけし
2019,NHK紅白歌合戦,石川さゆり
2019,NHK紅白歌合戦,RADWIMPS[• 20]
2019,NHK紅白歌合戦,Superfly
2019,NHK紅白歌合戦,菅田将暉
2019,NHK紅白歌合戦,竹内まりや[• 23]
2019,NHK紅白歌合戦,いきものがかり
2019,NHK紅白歌合戦,ゆず
2019,NHK紅白歌合戦,嵐[• 25]
2019,NHK紅白歌合戦,松任谷由実
2019,NHK紅白歌合戦,氷川きよし
2019,NHK紅白歌合戦,松田聖子
2019,NHK紅白歌合戦,MISIA
2019,NHK紅白歌合戦,嵐
2020,NHK紅白歌合戦,King & Prince[• 1]
2020,NHK紅白歌合戦,Foorin[• 2]
2020,NHK紅白歌合戦,山内惠介[• 3]
2020,NHK紅白歌合戦,milet
2020,NHK紅白歌合戦,日向坂46
2020,NHK紅白歌合戦,櫻坂46
2020,NHK紅白歌合戦,Hey!Say!JUMP
2020,NHK紅白歌合戦,Little Glee Monster[• 2][• 7]
2020,NHK紅白歌合戦,SixTONES
2020,NHK紅白歌合戦,水森かおり
2020,NHK紅白歌合戦,GENERATIONS
2020,NHK紅白歌合戦,純烈
2020,NHK紅白歌合戦,坂本冬美
2020,NHK紅白歌合戦,Kis-My-Ft2[• 2]
2020,NHK紅白歌合戦,天童よしみ
2020,NHK紅白歌合戦,さだまさし[• 3]
2020,NHK紅白歌合戦,乃木坂46
2020,NHK紅白歌合戦,鈴木雅之
2020,NHK紅白歌合戦,nan
2020,NHK紅白歌合戦,五木ひろし
2020,NHK紅白歌合戦,NiziU
2020,NHK紅白歌合戦,瑛人
2020,NHK紅白歌合戦,Perfume[• 2]
2020,NHK紅白歌合戦,BABYMETAL
2020,NHK紅白歌合戦,郷ひろみ
2020,NHK紅白歌合戦,JUJU
2020,NHK紅白歌合戦,nan
2020,NHK紅白歌合戦,GReeeeN
2020,NHK紅白歌合戦,嵐[• 18]
2020,NHK紅白歌合戦,LiSA
2020,NHK紅白歌合戦,Official髭男dism[• 2]
2020,NHK紅白歌合戦,三山ひろし
2020,NHK紅白歌合戦,YOASOBI[• 21]
2020,NHK紅白歌合戦,関ジャニ∞
2020,NHK紅白歌合戦,東京事変[• 2]
2020,NHK紅白歌合戦,ゆず[• 3]
2020,NHK紅白歌合戦,あいみょん
2020,NHK紅白歌合戦,YOSHIKI
2020,NHK紅白歌合戦,Superfly[• 3]
2020,NHK紅白歌合戦,Mr.Children[• 25]
2020,NHK紅白歌合戦,石川さゆり
2020,NHK紅白歌合戦,星野源[• 25]
2020,NHK紅白歌合戦,氷川きよし
2020,NHK紅白歌合戦,松田聖子
2020,NHK紅白歌合戦,松任谷由実[• 2][• 26]
2020,NHK紅白歌合戦,玉置浩二[• 25]
2020,NHK紅白歌合戦,福山雅治
2020,NHK紅白歌合戦,MISIA
2021,NHK紅白歌合戦,LiSA
2021,NHK紅白歌合戦,郷ひろみ
2021,NHK紅白歌合戦,DISH//
2021,NHK紅白歌合戦,NiziU [• 1]
2021,NHK紅白歌合戦,山内惠介 [• 2]
2021,NHK紅白歌合戦,櫻坂46[• 2]
2021,NHK紅白歌合戦,YOASOBI with ミドリーズ
2021,NHK紅白歌合戦,Awesome City Club [• 1]
2021,NHK紅白歌合戦,GENERATIONS
2021,NHK紅白歌合戦,日向坂46
2021,NHK紅白歌合戦,純烈
2021,NHK紅白歌合戦,SixTONES [• 1]
2021,NHK紅白歌合戦,天童よしみ
2021,NHK紅白歌合戦,KAT-TUN
2021,NHK紅白歌合戦,上白石萌音 [• 1]
2021,NHK紅白歌合戦,King & Prince
2021,NHK紅白歌合戦,milet
2021,NHK紅白歌合戦,まふまふ[• 1]
2021,NHK紅白歌合戦,水森かおり [• 7]
2021,NHK紅白歌合戦,Snow Man
2021,NHK紅白歌合戦,松平健
2021,NHK紅白歌合戦,東京都交響楽団
2021,NHK紅白歌合戦,東京都交響楽団
2021,NHK紅白歌合戦,LiSA
2021,NHK紅白歌合戦,高橋洋子
2021,NHK紅白歌合戦,AI
2021,NHK紅白歌合戦,関ジャニ∞
2021,NHK紅白歌合戦,BiSH
2021,NHK紅白歌合戦,三山ひろし [• 2]
2021,NHK紅白歌合戦,平井大
2021,NHK紅白歌合戦,ケツメイシ
2021,NHK紅白歌合戦,Perfume [• 1]
2021,NHK紅白歌合戦,millennium parade × Belle
2021,NHK紅白歌合戦,宮本浩次 [• 12]
2021,NHK紅白歌合戦,乃木坂46
2021,NHK紅白歌合戦,細川たかし
2021,NHK紅白歌合戦,細川たかし
2021,NHK紅白歌合戦,坂本冬美 [• 1]
2021,NHK紅白歌合戦,藤井風 [• 15]
2021,NHK紅白歌合戦,YOASOBI [• 2]
