artist,year,program
ポルノグラフィティ,2021,ベストアーティスト
三代目 J SOUL BROTHERS from EXILE TRIBE,2021,ベストアーティスト
中丸雄一,2021,ベストアーティスト
中島美嘉,2021,ベストアーティスト
乃木坂46,2021,ベストアーティスト
嵐,2021,ベストアーティスト
嵐 × 乃木坂46,2021,ベストアーティスト
日向坂46,2021,ベストアーティスト
星野源,2021,ベストアーティスト
村方乃々佳,2021,ベストアーティスト
桑田佳祐,2021,ベストアーティスト
櫻井翔,2021,ベストアーティスト
櫻坂46,2021,ベストアーティスト
浜崎あゆみ,2021,ベストアーティスト
福山雅治,2021,ベストアーティスト
西野カナ,2021,ベストアーティスト
郷ひろみ,2021,ベストアーティスト
関ジャニ∞,2021,ベストアーティスト
&TEAM,2022,ベストアーティスト
A.B.C-Z,2022,ベストアーティスト
AKB48,2022,ベストアーティスト
Ado,2022,ベストアーティスト
BE:FIRST,2022,ベストアーティスト
Da-iCE,2022,ベストアーティスト
FANTASTICS from EXILE TRIBE,2022,ベストアーティスト
Gaho × THE BEAT GARDEN,2022,ベストアーティスト
Hey! Say! JUMP,2022,ベストアーティスト
KARA,2022,ベストアーティスト
KAT-TUN,2022,ベストアーティスト
KinKi Kids,2022,ベストアーティスト
King & Prince,2022,ベストアーティスト
King Gnu,2022,ベストアーティスト
Kis-My-Ft2,2022,ベストアーティスト
LE SSERAFIM,2022,ベストアーティスト
MISIA,2022,ベストアーティスト
NiziU,2022,ベストアーティスト
O-Zone,2022,ベストアーティスト
Perfume,2022,ベストアーティスト
SEKAI NO OWARI,2022,ベストアーティスト
SEVENTEEN,2022,ベストアーティスト
STU48,2022,ベストアーティスト
Sexy Zone,2022,ベストアーティスト
SixTONES,2022,ベストアーティスト
Stray Kids,2022,ベストアーティスト
THE RAMPAGE from EXILE TRIBE,2022,ベストアーティスト
なにわ男子,2022,ベストアーティスト
ゆず,2022,ベストアーティスト
ゆず×中川大志,2022,ベストアーティスト
ジェジュン,2022,ベストアーティスト
ブラックビスケッツ,2022,ベストアーティスト
ポルノグラフィティ,2022,ベストアーティスト
レミオロメン,2022,ベストアーティスト
中島美嘉,2022,ベストアーティスト
乃木坂46,2022,ベストアーティスト
大塚愛,2022,ベストアーティスト
宮本浩次,2022,ベストアーティスト
日向坂46,2022,ベストアーティスト
櫻坂46,2022,ベストアーティスト
福山雅治,2022,ベストアーティスト
絢香×コブクロ,2022,ベストアーティスト
緑黄色社会,2022,ベストアーティスト
美炎-BIEN-,2022,ベストアーティスト
西野カナ,2022,ベストアーティスト
関ジャニ∞,2022,ベストアーティスト
&TEAM,2023,ベストアーティスト
Ado,2023,ベストアーティスト
BE:FIRST,2023,ベストアーティスト
Da-iCE,2023,ベストアーティスト
GENERATIONS from EXILE TRIBE,2023,ベストアーティスト
IMP.,2023,ベストアーティスト
JO1,2023,ベストアーティスト
Kep1er,2023,ベストアーティスト
King & Prince,2023,ベストアーティスト
King Gnu,2023,ベストアーティスト
LE SSERAFIM,2023,ベストアーティスト
MISIA,2023,ベストアーティスト
Mrs. GREEN APPLE,2023,ベストアーティスト
NiziU,2023,ベストアーティスト
Perfume,2023,ベストアーティスト
Rockon Social Club,2023,ベストアーティスト
SEKAI NO OWARI,2023,ベストアーティスト
SEVENTEEN,2023,ベストアーティスト
SKY-HI×Nissy,2023,ベストアーティスト
SUPER BEAVER,2023,ベストアーティスト
Sexy Zone,2023,ベストアーティスト
SixTONES,2023,ベストアーティスト
Snow Man,2023,ベストアーティスト
なにわ男子,2023,ベストアーティスト
ゆず,2023,ベストアーティスト
ジェジュン,2023,ベストアーティスト
乃木坂46,2023,ベストアーティスト
優里,2023,ベストアーティスト
日向坂46,2023,ベストアーティスト
昆夏美×山崎育三郎,2023,ベストアーティスト
生田絵梨花,2023,ベストアーティスト
由薫,2023,ベストアーティスト
石川さゆり,2023,ベストアーティスト
福山雅治,2023,ベストアーティスト
緑黄色社会,2023,ベストアーティスト
豊原江理佳,2023,ベストアーティスト
&TEAM,2024,ベストアーティスト
AI,2024,ベストアーティスト
Aぇ! group,2024,ベストアーティスト
Da-iCE,2024,ベストアーティスト
GLAY,2024,ベストアーティスト
HY,2024,ベストアーティスト
Hey! Say! JUMP,2024,ベストアーティスト
IMP.,2024,ベストアーティスト
King & Prince,2024,ベストアーティスト
MISIA,2024,ベストアーティスト
May J.,2024,ベストアーティスト
Mrs. GREEN APPLE,2024,ベストアーティスト
NewJeans,2024,ベストアーティスト
NiziU,2024,ベストアーティスト
NiziU × 七尾高等学校吹奏楽部,2024,ベストアーティスト
ORANGE RANGE,2024,ベストアーティスト
Omoinotake,2024,ベストアーティスト
Perfume,2024,ベストアーティスト
SEVENTEEN,2024,ベストアーティスト
SUPER BEAVER,2024,ベストアーティスト
SUPER EIGHT × 東海大学付属静岡翔洋高等学校吹奏楽部,2024,ベストアーティスト
SixTONES,2024,ベストアーティスト
Snow Man,2024,ベストアーティスト
Stray Kids,2024,ベストアーティスト
THE RAMPAGE from EXILE TRIBE,2024,ベストアーティスト
m-flo loves Maya,2024,ベストアーティスト
m-flo loves 櫻井翔,2024,ベストアーティスト
timelesz,2024,ベストアーティスト
ダイアモンド🔯ユカイ×King & Prince,2024,ベストアーティスト
三代目 J SOUL BROTHERS from EXILE TRIBE,2024,ベストアーティスト
乃木坂46,2024,ベストアーティスト
大塚愛,2024,ベストアーティスト
屋比久知奈,2024,ベストアーティスト
日向坂46,2024,ベストアーティスト
星野源,2024,ベストアーティスト
木村昴,2024,ベストアーティスト
由薫,2024,ベストアーティスト
藤井隆,2024,ベストアーティスト
齊藤京子×佐野勇斗,2024,ベストアーティスト
