artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster
純烈,6,7.0,0.0,21.396946564885496,1
純烈（ダチョウ倶楽部・有吉弘行）,1,0.0,0.0,0.3816793893129771,1
細川たかし,3,38.0,0.0,6.702290076335878,1
絢香,3,56.0,0.0,26.16030534351145,0
緑黄色社会,8,0.0,0.0,23.66793893129771,1
美炎-BIEN-,1,10.0,0.0,0.0,1
美輪明宏,1,21.0,0.0,20.15648854961832,1
花*花,1,71.0,0.0,65.85114503816794,0
荻野目洋子,2,44.0,0.0,20.1793893129771,0
菅田将暉,3,0.0,0.0,10.01908396946565,1
薬師丸ひろ子,2,51.0,0.0,10.874045801526718,0
藤あや子,1,29.0,0.0,19.938931297709924,0
藤井フミヤ,1,46.0,0.0,15.557251908396946,0
藤井隆,1,39.0,0.0,25.606870229007633,0
藤井風,3,0.0,0.0,16.67557251908397,1
藤原さくら,1,43.0,0.0,15.0,0
西内まりや,2,0.0,0.0,3.4732824427480917,1
西野カナ,14,66.0,0.0,10.320610687022901,2
豊原江理佳,1,1.0,0.0,3.286259541984733,1
近藤真彦,1,0.0,0.0,2.8893129770992365,1
郷ひろみ,11,48.0,0.0,15.721374045801527,2
鈴木雅之,4,54.0,0.0,15.969465648854962,0
関ジャニ∞,24,0.0,0.0,16.866412213740457,2
青山テルマ,1,0.0,0.0,9.145038167938932,1
香西かおり,1,37.0,0.0,31.297709923664122,0
高嶋ちさ子,1,32.0,0.0,12.385496183206106,1
高橋優,1,13.0,0.0,15.026717557251908,1
高橋洋子,2,54.0,0.0,8.19083969465649,0
髙橋真梨子,4,0.0,0.0,12.526717557251908,1
麻倉未稀,1,33.0,0.0,4.931297709923665,1
［Alexandros］,3,62.0,0.0,0.0,0
