year,program,artist,appearances,song,tags,type,origin,associated_acts,members,MB_Producers,MB_MemberOf,Wiki_Summary,spotify_followers,spotify_popularity,artist_category
2015,NHK紅白歌合戦,ゴールデンボンバー,4.0,女々しくて,"J-POP, ロック",Group,,tatsuo（everset）,,情報なし,"喜矢武豊, 樽美酒研二, ゴールデン・イクシオン・ボンバー DT, 歌広場淳, 鬼龍院翔",ゴールデンボンバー (英: golden bomber）,395.0,1.0,その他
2015,NHK紅白歌合戦,レベッカ,1.0,フレンズ,"エレクトロニック, ロック",maleソロ,Kōchi,,,情報なし,情報なし,レベッカは、ヘブライ語の女性名ヘブライ語: רבקה（リベカ）の、ヨーロッパ諸言語形。旧約聖書にも登場し、うっとりさせる者、魅惑する者、束縛する者という意味がある。英語では Rebecca や Rebekah、ドイツ語では Rebekka、フランス語では Rébecca などと綴る。英語のレベッカの愛称はベッキー (Becky) 。,802.0,42.0,女性グループ
2015,NHK紅白歌合戦,三代目 J Soul Brothers,4.0,Summer Madness,"J-POP, EDM",Group,日本,HIRO,"NAOTO, 小林直己, ELLY, 山下健二郎, 岩田剛典, 今市隆二, ØMI",情報なし,"ELLY, 今市隆二, 岩田剛典, 小林修己, NAOTO, 登坂広臣, 山下健二郎",三代目 J SOUL BROTHERS from EXILE TRIBE（さんだいめ・ジェイ・ソウル・ブラザーズ・フロム・エグザイル・トライブ）は、日本のダンス&ボーカルグループ。J Soul Brothersの三代目として2010年に結成された。所属事務所はLDH JAPAN。レーベルはrhythm zone。,6989.0,18.0,男性グループ
2015,NHK紅白歌合戦,三山ひろし,1.0,お岩木山,演歌,ソロ,"日本, 高知県, 南国市",,,情報なし,情報なし,三山 ひろし（みやま ひろし、1980年9月17日 - ）は、日本の演歌歌手。高知県南国市出身。,15015.0,33.0,男性ソロ
2015,NHK紅白歌合戦,乃木坂46,1.0,君の名は希望,J-POP,Group,日本,"Sony Music Entertainment, 秋元康","現メンバー, を参照",情報なし,"永島聖羅, 深川麻衣, 伊藤万理華, 中元日芽香, 川村真洋, 生駒里奈, 斎藤ちはる, 若月佑美, 能條愛未, 川後陽菜, 西野七瀬, 衛藤美彩, 斉藤優里, 桜井玲香, 井上小百合, 中田花奈, 松村沙友理, 高山一実, 生田絵梨花, 星野みなみ, 樋口日奈, 和田まあや, 齋藤飛鳥, 秋元真夏, 白石麻衣, 伊藤純奈, 伊藤かりん, 堀未央奈, 渡辺みり愛, 新内眞衣, 山崎怜奈, 鈴木絢音, 寺田蘭世, 佐々木琴子, 北野日奈子, 西川七海, 松井玲奈, 相楽伊織, 伊藤かりん, 寺田蘭世, 大園桃子, 山下美月, 阪口珠美, 向井葉月, 与田祐希, 伊藤理々杏, 岩本蓮加, 久保史緒里, 中村麗乃, 佐藤楓, 梅澤美波, 吉田綾乃クリスティー, 早川聖来, 遠藤さくら, 賀喜遥香, 金川紗耶, 掛橋沙耶香, 北川悠理, 清宮レイ, 柴田柚菜, 田村真佑, 筒井あやめ, 矢久保美緒, 林瑠奈, 黒見明香, 松尾美佑, 佐藤璃果, 弓木奈於, 一ノ瀬美空, 池田瑛紗, 井上和, 五百城茉央, 川﨑桜, 中西アルノ, 小川彩, 岡本姫奈, 奥田いろは, 菅原咲月, 冨里奈央, 海邉朱莉, 川端晃菜, 大越ひなの, 愛宕心響, 増田三莉音, 瀬戸口心月, 矢田萌華, 小津玲奈, 長嶋凛桜, 森平麗心, 鈴木佑捺",概要なし,263.0,11.0,女性グループ
2015,NHK紅白歌合戦,五木ひろし,45.0,千曲川,"演歌, 歌謡曲",ソロ,"日本, 福井県, 三方郡",,,情報なし,情報なし,五木 ひろし（いつき ひろし、1948年〈昭和23年〉3月14日 - ） は、日本の歌手、作曲家、俳優。現在は演歌歌手として記されることが多い。京都府生まれ、福井県三方郡美浜町出身。所属事務所は株式会社五木プロモーション。レコード会社は、ファイブズ・エンタテインメント。妻は元女優の和由布子。,60409.0,43.0,男性ソロ
2015,NHK紅白歌合戦,今井美樹,2.0,PIECE OF MY WISH,"ニューミュージック, J-POP, AOR",ソロ,"日本, 宮崎県, 児湯郡, 高鍋町",布袋寅泰,,情報なし,情報なし,今井 美樹（いまい みき、1963年4月14日 - ）は、日本の歌手、女優である。夫は元BOØWYおよびCOMPLEXのメンバーでギタリストの布袋寅泰。,306501.0,50.0,女性ソロ
2015,NHK紅白歌合戦,伍代夏子,22.0,東京五輪音頭,演歌,ソロ,"日本, 東京都, 渋谷区",,,情報なし,情報なし,伍代 夏子（ごだい なつこ、1961年12月18日 - ）は、東京都出身の演歌歌手、社会公益活動家、警察庁特別防犯支援官。夫は歌手で俳優の杉良太郎。,22776.0,29.0,女性ソロ
2015,NHK紅白歌合戦,和田アキ子,39.0,笑って許して,"R&B, ソウル, 歌謡曲, ジャズ, J-POP",ソロ,"日本, 大阪府, 大阪市, 天王寺区, 舟橋町",,,情報なし,情報なし,概要なし,27833.0,38.0,女性ソロ
2015,NHK紅白歌合戦,坂本冬美,27.0,祝い酒,"演歌, 歌謡曲, J-POP",femaleソロ,"日本, 和歌山県, 西牟婁郡, 上富田町",,,情報なし,HIS,坂本 冬美（さかもと ふゆみ、本名同じ、1967年〈昭和42年〉3月30日 - ）は、日本の演歌歌手。,114245.0,45.0,女性ソロ
2015,NHK紅白歌合戦,大原櫻子,1.0,瞳,"テレビドラマ, 映画, 舞台",ソロ,,"亀田誠治, 小名川高弘",,情報なし,Sugar & The Radio Fire,概要なし,,,女性ソロ
2015,NHK紅白歌合戦,天童よしみ,20.0,人生一路[※ 6],"演歌, 歌謡曲, アニメソング",ソロ,"日本, 大阪府, 八尾市",,,情報なし,情報なし,天童 よしみ（てんどう よしみ、本名：吉田 芳美〈よしだ よしみ〉、1954年〈昭和29年〉9月26日 - ）は、日本の女性演歌歌手、女優。,25659.0,34.0,女性ソロ
2015,NHK紅白歌合戦,小林幸子,34.0,千本桜,"演歌, 歌謡曲",ソロ,"日本, 新潟県, 新潟市, （現：新潟市, 中央区, ）",,,情報なし,年轮组合,小林 幸子（こばやし さちこ、1953年（昭和28年）12月5日 - ）は、日本の歌手、YouTuber。本名は林 幸子（旧姓・小林）。幸子プロモーション所属。代表曲に「おもいで酒」「雪椿」などがある。豪華な衣装は平成期紅白歌合戦の名物となった。,36774.0,39.0,男性ソロ
